"z"	"f1"	"f2"	"f3"	"b"
0	3.5	1.4	0.2	-5.70141533156216
0	2.9	1.4	0.2	-7.34571138130443
0	4	1.2	0.2	5.17228660801475
0	4.4	1.5	0.4	-6.39274024464774
0	3	1.6	0.2	-4.74398796015535
0	3.4	1.5	0.4	-4.98133308707517
0	4.2	1.4	0.2	-1.11688739620564
0	3	1.3	0.2	-2.64029899559098
0	3.2	1.3	0.2	-3.61508750563913
0	3.5	1.6	0.6	2.79074288352742
0	3.8	1.6	0.2	-5.31462566429475
0	3.2	1.4	0.2	7.12890702478336
0	3.3	1.4	0.2	-4.25265823058384
1	3.2	4.5	1.5	45.5490880057255
1	3.1	4.9	1.5	43.5607877200647
1	2.8	4.5	1.3	43.639238446942
1	2.9	4.6	1.3	52.4425500887142
1	3.1	4.4	1.4	51.5415759939818
1	2.7	4.1	1	46.5685749799409
1	2.5	3.9	1.1	45.3440410574016
1	2.8	4	1.3	44.9288854312992
1	2.9	4.3	1.3	47.7012887957298
1	3	5	1.7	54.0487967197358
1	2.9	4.5	1.5	52.9401672804729
1	2.6	3.5	1	45.6376937769436
1	2.4	3.7	1	52.9456853997494
1	2.6	4.4	1.2	47.8417031981584
1	2.6	4	1.2	52.1504406424382
1	2.3	3.3	1	51.9734767853095
1	3	4.2	1.2	44.3277957532416
1	2.9	4.2	1.3	54.2684912453861
1	2.5	3	1.1	54.1893398943184
1	2.8	4.1	1.3	49.6475985173916
2	3	5.9	2.1	88.569198577397
2	3	6.6	2.1	102.328447577022
2	3	5.5	2.1	99.9174935840722
2	2.5	5	2	95.4233640276
2	2.8	5.1	2.4	108.757322869119
2	3	5.5	1.8	102.8900705447
2	2.8	6.7	2	110.323736455779
2	2.7	4.9	1.8	105.28783805465
2	2.8	5.6	2.2	99.6411257690046
2	2.6	5.6	1.4	99.3954067545059
2	3.4	5.6	2.4	97.1517907512792
2	3.1	5.5	1.8	100.482314457186
2	3.1	5.6	2.4	101.104925985636
2	2.7	5.1	1.9	104.363448170665
2	3.2	5.9	2.3	104.387008739888
2	3.3	5.7	2.5	93.6043879054784
2	3	5.2	2	101.478626943377
