"z"	"f1"	"f2"	"f3"	"b"
0	3.5	1.4	0.2	4.39911976155809
0	3.6	1.4	0.2	-9.12584496689916
0	3.9	1.7	0.4	-2.69063453510334
0	3.4	1.7	0.2	-6.09619480849395
0	3.7	1.5	0.4	3.39153288862184
0	3.5	1.5	0.2	-9.13107984431523
0	4.1	1.5	0.1	19.8788996163695
0	3.1	1.5	0.2	1.94615707887466
0	3.6	1.4	0.1	3.37893962916669
0	3.5	1.3	0.3	5.38823243812254
0	2.3	1.3	0.3	0.161852536439134
0	3.5	1.6	0.6	-3.37683580063885
0	3.7	1.5	0.2	-2.93381542071823
1	3.2	4.7	1.4	55.4680631120205
1	3	4.2	1.5	55.7519691889764
1	2.2	4	1	48.7803773646934
1	3.1	4.4	1.4	57.9050732669376
1	3	4.5	1.5	49.0977160637897
1	2.7	4.1	1	58.1991047401366
1	2.5	4.9	1.5	48.6059967816185
1	2.9	4.3	1.3	43.8820715231853
1	2.8	4.8	1.4	37.1907172659989
1	3	5	1.7	45.8323509905337
1	2.6	3.5	1	59.1373223242998
1	3.4	4.5	1.6	46.8103524784665
1	2.3	4.4	1.3	51.5829961031083
1	3	4.6	1.4	57.8164272825863
1	2.3	3.3	1	35.7502015999312
1	3	4.2	1.2	51.611712992692
1	2.9	4.3	1.3	43.544388879206
1	2.8	4.1	1.3	42.8307206348934
2	3.3	6	2.5	96.5242479330571
2	2.7	5.1	1.9	108.954114794535
2	3	6.6	2.1	98.8258455378055
2	2.5	4.5	1.7	100.742188373194
2	2.5	5.8	1.8	102.754895089097
2	2.8	5.1	2.4	77.6703101194755
2	3.2	5.7	2.3	104.001718080111
2	2.8	4.9	2	100.419807625405
2	2.8	6.7	2	93.9816899569874
2	3.2	6	1.8	92.5665470850239
2	2.8	6.1	1.9	97.0823740398202
2	3.8	6.4	2	116.290646522718
2	2.8	5.1	1.5	90.1323782988515
2	3.1	5.5	1.8	105.127737263172
2	3	4.8	1.8	105.844924863884
2	2.7	5.1	1.9	105.954938395348
2	3	5.2	2.3	104.960669336443
2	3	5.2	2	91.5955909663777
2	3.4	5.4	2.3	93.5164044485639
